xtdConstraint,1
xtdMeasureConstraint,2
xtdMeasureIntervalConstraint,3
xtdUnitConstraint,4
xtdLogicalConstraint,5
xtdRelAssignsConstraint,6
xtdRelAssignsPropertyWithConstraint,7
xtdRelMapping,71
xtdExternalObject,70
xtdExternalSchema,69
xtdDerivedUnit,8
xtdDerivedUnitElement,9
xtdMonetaryUnit,10
xtdNamedUnit,11
xtdContextDependentUnit,12
xtdConversionBasedUnit,13
xtdConversionBasedUnitWithOffset,14
xtdSIUnit,15
xtdDimensionalExponents,16
xtdUnit,17
xtdValue,18
xtdRelAssignsPropertyWithValues,36
xtdActivity,19
xtdActor,20
xtdBag,21
xtdCollection,22
xtdDescription,23
xtdExternalDocument,24
xtdLanguage,25
xtdLanguageRepresentation,26
xtdMeasureWithUnit,27
xtdName,28
xtdNest,29
xtdObject,30
xtdProperty,31
xtdRelActsUpon,32
xtdRelAssignsCollections,33
xtdRelAssignsMeasures,34
xtdRelAssignsProperties,35
xtdRelAssignsUnits,37
xtdRelAssignsValues,38
xtdRelAssociates,39
xtdRelationship,40
xtdRelCollects,41
xtdRelComposes,42
xtdRelDocuments,43
xtdRelGroups,44
xtdRelSequences,45
xtdRelSpecializes,46
xtdRoot,47
xtdSubject,48
xtdNumber,49
xtdInteger,50
xtdBoolean,51
xtdLogical,52
xtdReal,53
xtdPercent,54
xtdDate,55
xtdGlobalUniqueID,56
xtdLabel,57
xtdText,58
xtdVersionID,59
xtdValueType,60
xtdUnitDefinition,61
xtdConstraintTypeEnum,62
xtdLogicalOperatorEnum,63
xtdSIPrefix,64
xtdSIUnitName,65
xtdUnitEnum,66
xtdToleranceTypeEnum,68
